window,best_agent_path,n_eval_episodes,val_reward,std_reward,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk (95%),Portfolio turnover (in %),final_portfolio_value_first_episode,val_reward_mean,val_reward_std
1,agent_1-5_seed=30606_test=2012_valrew=-10,1,-19.871191099556768,0.0,0.09409174129841658,0.09253117726325999,0.09823346220888096,0.964673354221167,1.3082736370256995,0.9105532060448207,-0.07192053606792066,1.1777952713280184,1.4790786350034208,0.040407825936099956,0.8345659119780069,1.143891697344464,-0.009634667365027648,0.4799179658172352,109253,-10.6872175825804,0.09570514239982811
2,agent_2-1_seed=17490_test=2013_valrew=-19,1,5.992510261591779,0.0,0.22058149732398635,0.21865210864067075,0.08815987543092668,2.306004097076819,4.547423343235279,0.918982607775338,-0.04850691934194386,1.4528878438253001,3.2245316328646023,-0.5339959349703105,1.2803094824478918,1.0340206531188563,-0.008757962033978745,0.5149917056246286,121865,-19.80514655167168,0.0515542924469729
3,agent_3-2_seed=62285_test=2014_valrew=6,1,27.125063896855217,0.0,0.12942692743039985,0.12833647831916806,0.08906040713237177,1.4115129542512324,2.246407860553286,0.9182227114776135,-0.05761506167385038,1.2721917635308306,1.8615274634348389,-0.4085441596906059,1.4445459976052395,0.9748398569342863,-0.0089462162702869,0.8029954612784974,112834,5.978353290869074,0.0964343466150408
4,agent_4-2_seed=46417_test=2015_valrew=27,1,5.758746182752633,0.0,-0.001595782667498158,-0.0015831277561187962,0.12357480086647497,0.04894471631306543,-0.015465662652555383,0.8900164005358816,-0.10318230155075105,1.0082820568928057,0.07155390128105447,-0.23393309559115574,1.8064365383517385,0.9952227076733642,-0.012325085805220397,1.2633073383266422,99842,27.088141792009566,0.1725958194425328
5,agent_5-3_seed=54308_test=2016_valrew=5,1,43.51477930023724,0.0,0.133785195572385,0.13265591650962838,0.10425985279062448,1.2568080010584408,2.055471932262085,0.9055839506189194,-0.0650873375950952,1.2466791842947287,1.6817301015724948,-0.3734461519031735,1.8599204384303794,1.151927882348215,-0.010820538038348109,1.729531778101077,113266,5.6928156465006,0.0812065409261389
6,agent_6-3_seed=64715_test=2017_valrew=43,1,17.9359481740547,0.0,0.16426105538085323,0.16215500413894657,0.05477443511508349,2.804821771415584,8.075772717029999,0.9480700012329109,-0.02033997997918681,1.611996327748972,4.111419199345676,-0.22941709668157034,1.5264666604214003,1.335065918578011,-0.0049022282080043444,1.2134992057951846,116216,43.565458920083735,0.07873346492153088
7,agent_7-1_seed=54279_test=2018_valrew=17,1,-20.54002800335868,0.0,-0.06219232715049727,-0.061475184078216505,0.13426428160119402,-0.4108405928320909,-0.3879887557098561,0.8816287493319822,-0.16029414831033312,0.9291833663163183,-0.5087204979540499,-0.46996253708031416,3.2217346584580815,0.674499947124447,-0.016966593028833788,2.3843266027079353,93852,17.835657350181158,0.06443261294968156
8,agent_8-3_seed=44474_test=2019_valrew=-20,1,18.73627877885754,0.0,0.28327927124493635,0.2807415148735046,0.11099647716678815,2.303790739962849,5.061085236133338,0.9000928630756362,-0.05597204117853611,1.5000044476694103,2.8892526829228258,-0.5519949593204015,3.304881116369056,1.0713054315061346,-0.01019116674708842,3.570429025767222,128074,-20.557295572837216,0.14438974611694297
9,agent_9-3_seed=18130_test=2020_valrew=18,1,-6.307921007867988,0.0,0.1146309078069585,0.11415099744796753,0.35156762407997805,0.48640226052313795,0.31383503614960895,0.7398815880046752,-0.3652584785094312,1.1029813732999818,0.5571222796459478,-0.5945297372246137,7.907342495987004,0.9146781831949411,-0.030924522116525577,9.548149471917544,111415,18.752440326757647,0.09836680057449157
10,agent_10-1_seed=40611_test=2021_valrew=-6,1,4.9577887079164356,0.0,0.3236375965619396,0.3192267905426025,0.11928152002665338,2.4116244817736074,6.9801186042373935,0.893430278359449,-0.04636563000025102,1.4907115668131017,3.3327094466695515,-0.44919005514594906,0.9558570167357288,1.1687494732380548,-0.011366117379614127,3.9456447080849246,131923,-6.277775958385897,0.07635822999260465
