window,best_agent_path,status,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk (95%),Portfolio turnover,mean_reward,std_reward,n_eval_episodes,final_portfolio_value_first_episode
1,../models/sliding_window_jules/agent_win1_seed2_valrew-0.63.zip,completed,-0.010818746062720264,-0.00812508230809228,0.11686190880372624,-0.20582213093808885,-0.19944280349705118,0.8953658389792367,-0.054244855532630046,0.9666915346397733,-0.332271223451118,0.12954004367889269,0.4449310411152507,1.21197202611855,-0.01098003030491787,,2.987013026180446,0.0,1.0,99187.49176919078
2,../models/sliding_window_jules/agent_win2_seed5_valrew2.10.zip,completed,0.024056864928895694,0.01818100826193536,0.10467793205348996,0.08843626696866674,0.43839208865562285,0.9052412209784042,-0.054875225971044994,1.0142063848283414,0.13699957367171992,-0.23772409696258504,0.6286364685975867,0.9778701549685123,-0.010884175853358439,,0.5632152314924559,0.0,1.0,101818.10082619353
3,../models/sliding_window_jules/agent_win3_seed10_valrew0.51.zip,completed,0.026011735201471042,0.019653834167944195,0.09695196519923632,0.10706713099985747,0.4681761679340203,0.9116169456138152,-0.05555971658330301,1.0186854631178337,0.15458837007297252,-0.012056520558288045,1.825217537873554,0.9341998251174354,-0.009616251917353595,,6.209589122199979,0.0,1.0,101965.38341679443
4,../models/sliding_window_jules/agent_win4_seed15_valrew6.22.zip,completed,0.011837769436073176,0.008959485222697072,0.13671205396811442,0.00798610794442625,0.18673640697292032,0.8797302681089109,-0.0633929378205817,1.0013142301987856,0.0139790525255839,0.4196786751401754,1.349186985769717,1.0884118013066175,-0.013298880555271413,,3.9488510266834367,0.0,1.0,100895.9485222697
5,../models/sliding_window_jules/agent_win5_seed20_valrew4.19.zip,completed,0.025407934526497478,0.019198995070798475,0.09879013830315057,0.10099172201425692,0.3848461258829601,0.9100918957502557,-0.06602102195573244,1.0176042262670864,0.14446616384098712,-0.27705317851611483,2.74516860875174,1.232587308851441,-0.008877622631927626,,-1.7881917583768194,0.0,1.0,101919.89950707984
6,../models/sliding_window_jules/agent_win6_seed25_valrew-1.26.zip,completed,0.02938656077943258,0.022077399539502718,0.059509005916461105,0.18041354975837828,0.9775385434454213,0.943833411906691,-0.03006179242391511,1.032118505000546,0.2596972176573028,-0.23077173984078495,2.0648622507755703,1.2384662382682199,-0.005790361753315881,,2.6989812762563345,0.0,1.0,102207.73995395028
7,../models/sliding_window_jules/agent_win7_seed30_valrew2.42.zip,completed,-0.014569973569240391,-0.01100510703406865,0.12928222688428345,-0.20377529860420782,-0.14846417242024793,0.885518231132552,-0.09813797720838742,0.9645120073648895,-0.3068261139284563,0.6024237602752441,5.6822793139697225,0.82348356816565,-0.014473443854695074,,-3.617494125439494,0.0,1.0,98899.48929659314
8,../models/sliding_window_jules/agent_win8_seed35_valrew-3.93.zip,completed,0.1650127303267681,0.1227276985504806,0.10774941003807444,1.2863377743924036,3.1184709617226645,0.9027312413243614,-0.0529146278263287,1.2467454078173812,1.6161115068003677,-0.839421123490313,2.4992786728547722,1.0680609907829652,-0.010061506578691265,,5.757768205560518,0.0,1.0,112272.76985504807
9,../models/sliding_window_jules/agent_win9_seed40_valrew4.19.zip,completed,0.45083355031774874,0.3278139023567641,0.23091277035377625,1.641504696574793,4.896718444554854,0.8124052524961539,-0.09206850576003102,1.3269460667052981,2.376121019905467,0.008333723213018118,3.030767689756988,0.905769410287267,-0.02271063199159751,,9.471858239942527,0.0,1.0,132781.3902356764
10,../models/sliding_window_jules/agent_win10_seed45_valrew5.17.zip,completed,0.1761548064259022,0.13012891501868618,0.10786736087810725,1.3732459631788394,3.184562746357209,0.9026351306237503,-0.0553152254975676,1.2585403580732544,1.8779464512663917,-0.43804413982076834,0.9055267656195762,1.0922283268336077,-0.010774814985179165,,-7.964083515834813,0.0,1.0,113012.89150186861
